pais,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021
Ukraine,0.6909,0.7082,0.7139,0.72,0.7074,0.7037,0.7251,0.7426,0.7483,0.731,0.722,0.736,0.747,0.737,0.732
Uruguay,0.6108,0.6341,0.6422,0.6535,0.6566,0.6621,0.6602,0.6833,0.6841,0.639,0.643,0.645,0.664,0.696,0.69
United States,0.7587,0.7383,0.7524,0.7501,0.7992,0.7999,0.8143,0.8185,0.8276,0.826,0.752,0.776,0.782,0.756,0.754
Uzbekistan,0.7402,0.7537,0.7541,0.7687,,,,,,,,,,,
"Venezuela, RB",0.5999,0.6306,0.6336,0.619,0.6145,0.6159,0.626,0.6256,0.6617,0.657,0.669,0.678,0.691,0.683,0.617
Vietnam,,0.7447,0.7287,0.7349,0.7212,0.7106,0.7096,0.7023,0.726,0.731,0.736,0.738,0.74,0.751,0.765
Vanuatu,,,,,,,,,,,,,,0.637,0.576
"Yemen, Rep.",0.2528,0.2507,0.2523,0.2334,0.1951,0.318,0.3424,0.3577,0.3596,0.225,0.352,0.345,0.299,0.273,0.282
South Africa,0.5557,0.5856,0.5685,0.663,0.6727,0.6653,0.6588,0.6505,0.6473,0.67,0.677,0.652,0.645,0.649,0.658
Zambia,0.6023,0.5707,0.5679,0.593,0.6011,0.6005,0.6144,0.6354,0.6444,0.656,,,,0.831,0.804
Zimbabwe,0.6059,0.6037,0.6113,0.6178,0.6397,0.6503,,,0.713,0.707,0.714,0.71,0.73,0.728,0.763
